Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
BE,2011,2011,2011,1,0,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,675965814,,,0
BE,2011,2011,2011,1,0,2,Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,143505414,,,0
BE,2011,2011,2011,1,0,3,Re-Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,76208977,,,0
BE,2011,2011,2011,1,0,4,Re-Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,940389,,,0
BE,2011,2011,2011,1,0,1,Import,499,Montenegro,MNE,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,263921543,,,0
BE,2011,2011,2011,1,0,2,Export,499,Montenegro,MNE,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,22167766,,,0
BE,2011,2011,2011,1,0,3,Re-Export,499,Montenegro,MNE,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1358331,,,0
BE,2011,2011,2011,1,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,3960434,,,0
BE,2011,2011,2011,1,0,1,Import,504,Morocco,MAR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,6471105456,,,0
BE,2011,2011,2011,1,0,2,Export,504,Morocco,MAR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1294989799,,,0
BE,2011,2011,2011,1,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1118973000,,,0
BE,2011,2011,2011,1,0,2,Export,508,Mozambique,MOZ,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,62207000,,,0
BE,2011,2011,2011,1,0,1,Import,512,Oman,OMN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,4287524522,,,0
BE,2011,2011,2011,1,0,2,Export,512,Oman,OMN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,393865332,,,0
